L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-prefetches,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,ref-cycles,stalled-cycles-frontend,class
"84,706","1,468,212","17,652","24,111","306,658","86,422","32,170","4,009","21,958","832,141","86,663","832,141","56,392","428,014","25,664","159,507","8,110,129","18,026","5,437,914","1,925","2,783,167","8,620","2,978","17,390,007","13,060,832","5,432,869",yes
"41,965","504,556","17,402","23,577","2,688,826","186,029","76,789","57,468","8,719","312,581","34,609","312,581","34,725","606,540","29,138","171,128","10,565,928","8,948","385,213",620,"350,093","2,091",271,"796,461","8,634,016","6,748,079",yes
"116,431","2,345,925","6,964","14,797","464,433","131,114","30,346","4,917","6,365","1,764,872","30,083","1,764,872","70,884","496,302","29,989","191,827","9,043,511","6,563","301,722",397,"298,493","1,025","5,710","484,668","23,002,880","6,513,316",yes
"81,108","1,454,230","10,585","12,605","658,456","123,161","48,314","8,095","18,283","813,595","72,041","813,595","56,262","259,005","18,126","96,699","4,912,680","17,473","5,146,768","1,557","2,629,740","5,956","3,183","16,768,885","13,542,912","3,481,658",yes
"29,950","422,777","20,100","29,360","2,024,929","130,042","61,658","51,745","8,756","335,302","38,362","335,302","23,398","707,904","40,718","239,870","12,652,218","9,233","368,708","1,466","365,504","5,839",336,"4,488,622","5,617,568","8,584,244",yes
"127,424","2,226,860","5,912","11,945","1,103,951","176,692","43,197","11,882","7,989","1,652,545","38,008","1,652,545","79,940","422,075","26,705","152,289","7,596,428","5,998","506,552",467,"352,579","1,187","5,899","574,398","24,293,728","5,380,352",yes
"72,706","1,405,130","9,162","32,627","645,218","113,958","44,391","7,006","20,161","789,291","80,345","789,291","47,831","338,705","33,402","134,046","6,494,489","19,686","5,223,800","1,444","2,680,221","6,715","2,611","15,006,733","12,211,008","4,817,793",yes
"34,647","617,208","38,149","61,702","1,217,983","127,935","54,073","37,411","5,198","493,402","20,368","493,402","26,073","1,092,784","50,777","308,560","20,266,277","4,468","224,996","1,269","222,326","5,370",568,"3,605,491","6,791,040","12,558,957",yes
"110,457","1,965,956","6,138","11,833","1,951,398","193,687","53,114","28,410","6,605","1,450,083","29,965","1,450,083","68,413","441,709","32,641","163,247","8,352,312","6,879","289,798",887,"289,694","2,407","5,600","1,528,841","20,953,984","6,042,660",yes
"204,793","3,911,190","2,605","5,569","621,635","107,352","43,273","6,775","17,159","2,424,810","63,082","2,424,810","127,784","246,031","14,548","107,607","4,227,732","14,845","5,055,991","1,266","2,566,528","5,549","12,359","13,707,848","30,744,064","3,407,155",yes
"64,723","1,155,846","33,285","47,967","709,665","108,032","44,346","23,691","6,735","908,872","31,653","908,872","45,368","1,035,084","64,959","301,195","18,383,616","7,761","327,909","1,380","311,755","6,239","1,319","4,655,874","12,113,024","11,973,200",yes
